timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
16915,1009,1022,195.46,196.0,195.46,196.0,196.0,196.0,9152.76,196.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16935,1009,1022,195.46,196.0,195.46,196.0,196.0,196.0,9215.48,196.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16957,1009,1022,195.46,196.0,195.46,196.0,196.0,196.0,9251.18,196.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16977,1009,1022,195.46,196.0,195.46,196.0,196.0,196.0,9217.96,196.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17020,1009,1022,195.46,196.0,196.0,196.0,196.0,196.0,9150.2,196.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17040,1009,1022,195.46,196.0,196.0,196.0,196.0,196.0,8952.82,196.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17061,1009,1022,195.46,196.0,196.0,196.0,196.0,196.0,8708.02,196.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17084,1010,1022,168.5,169.0,169.0,169.0,169.0,169.0,8631.78,169.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17107,1010,1022,168.5,169.0,169.0,169.0,169.0,169.0,8366.04,169.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17127,1010,1022,168.5,169.0,169.0,169.0,169.0,169.0,8114.04,169.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17147,1011,1022,143.54,144.0,144.0,144.0,144.0,144.0,8041.42,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17168,1011,1022,143.54,144.0,144.0,144.0,144.0,144.0,7836.22,144.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17189,1011,1022,143.54,144.0,144.0,144.0,144.0,144.0,7658.6,144.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17210,1011,1022,143.54,144.0,144.0,144.0,144.0,144.0,7492.2,144.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17231,1012,1022,120.58,121.0,121.0,121.0,121.0,121.0,7484.0,121.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17251,1012,1022,120.58,121.0,121.0,121.0,121.0,121.0,7324.42,121.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17272,1012,1022,120.58,121.0,121.0,121.0,121.0,121.0,7164.84,121.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17294,1012,1022,120.58,121.0,121.0,121.0,121.0,121.0,6986.76,121.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17315,1013,1022,99.62,100.0,100.0,100.0,100.0,100.0,6936.9,100.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
