@relation Combined_train

@attribute var_x numeric
@attribute 'delta var_x' numeric
@attribute mean_x numeric
@attribute var_y numeric
@attribute 'delta var_y' numeric
@attribute mean_y numeric
@attribute var_z numeric
@attribute 'delta var_z' numeric
@attribute mean_z numeric
@attribute class {none,motion,tap}

@data
0.003151,-0.000385,0.480756,0.000969,0.000194,5.393658,0.00321,0.000803,8.418013,motion
0.167182,0.164031,0.568862,0.062994,0.062025,5.338112,0.127359,0.124149,8.500374,motion
0.499998,0.332816,0.702938,0.131318,0.068324,5.276821,0.207038,0.079678,8.571242,motion
0.627666,0.127668,0.798706,0.136898,0.00558,5.251921,0.207038,0,8.571242,motion
0.740014,0.112348,0.890643,0.158044,0.021146,5.209783,0.225972,0.018934,8.546343,motion
0.735523,-0.00449,0.92512,0.173375,0.015331,5.16956,0.34325,0.117278,8.47739,motion
0.798476,0.062953,1.009395,0.18758,0.014205,5.127422,0.430122,0.086873,8.416098,motion
0.85147,0.052993,1.095587,0.20742,0.01984,5.077623,0.511914,0.081792,8.483136,motion
1.186791,0.335322,1.266054,0.227347,0.019928,5.023993,0.530609,0.018695,8.456321,motion
1.506078,0.319286,1.442267,0.265648,0.0383,4.95504,0.557757,0.027148,8.418013,motion
1.509911,0.003834,1.547612,0.25743,-0.008218,4.928225,0.661945,0.104189,8.341399,motion
1.45912,-0.050792,1.622311,0.247745,-0.009685,4.909071,0.663563,0.001618,8.347145,motion
1.460029,0.00091,1.741063,0.23642,-0.011325,4.891833,0.678825,0.015261,8.316499,motion
1.3833,-0.076729,1.831085,0.227219,-0.009201,4.849695,0.69869,0.019866,8.34523,motion
1.290851,-0.092449,1.884716,0.214467,-0.012752,4.807557,0.701067,0.002377,8.352891,motion
1.224651,-0.0662,1.913446,0.270373,0.055906,4.713704,0.721142,0.020075,8.383537,motion
1.260574,0.035923,1.901954,0.296699,0.026326,4.625598,0.721083,-0.000059,8.379706,motion
1.359774,0.099199,1.871308,0.338286,0.041587,4.525999,1.075471,0.354388,8.513781,motion
1.618972,0.259198,1.808101,0.895507,0.557221,4.654328,1.094625,0.019154,8.557835,motion
1.526156,-0.092816,1.850239,0.870851,-0.024657,4.633259,1.20939,0.114765,8.636364,motion
1.429085,-0.097071,1.9077,0.855725,-0.015126,4.619852,1.347447,0.138057,8.555919,motion
1.467282,0.038198,1.834916,0.849665,-0.006061,4.646667,1.266785,-0.080662,8.435251,motion
1.371091,-0.096191,1.74681,0.894623,0.044959,4.617936,1.256557,-0.010228,8.431421,motion
1.353053,-0.018039,1.725741,0.896182,0.001559,4.585375,1.362228,0.105671,8.504204,motion
1.336709,-0.016344,1.674026,0.899308,0.003126,4.573883,1.347187,-0.015041,8.523358,motion
1.3504,0.013691,1.662534,1.02009,0.120782,4.652413,1.290246,-0.056941,8.544427,motion
1.336489,-0.013911,1.639549,1.084133,0.064043,4.71562,1.19991,-0.090336,8.590396,motion
1.492904,0.156415,1.704672,1.111207,0.027074,4.773081,1.262335,0.062425,8.61338,motion
1.25553,-0.237374,1.612734,1.101038,-0.010169,4.799896,1.259492,-0.002843,8.615295,motion
0.968278,-0.287252,1.516966,1.069693,-0.031345,4.845864,1.220825,-0.038667,8.680418,motion
1.270054,0.301776,1.599327,1.07593,0.006237,4.865018,1.145615,-0.07521,8.705317,motion
1.511115,0.241061,1.693179,1.103558,0.027628,4.897579,1.343533,0.197918,8.611465,motion
