meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16,class
937,951,7392.58,7389.16,57224.2,7396,31358.04,35633.76,45141.56,30723.24,5184,31897,31897,31897,31897,31897,31897,31897,squeeze
941,954,6720.74,6720.74,56024.92,6724,30599,35110.94,43885.64,30211.3,4761,31236.74,31236.74,31236.74,31236.74,31236.74,31236.74,31236.74,squeeze
946,958,5925.94,5925.94,53896.42,5929,29573.78,34231.34,42434.9,29434.28,4225,30331.88,30331.88,30331.88,30331.88,30331.88,30331.88,30331.88,squeeze
951,962,5181.14,5181.14,50879.92,5184,28268.24,32895.5,40673.14,28342.38,3721,29110.62,29110.62,29110.62,29110.62,29110.62,29110.62,29110.62,squeeze
956,967,4486.34,4486.34,47371.32,4489,26801.8,31269.36,38690.56,26960.68,3136,27678.32,27678.32,27678.32,27678.32,27678.32,27678.32,27678.32,squeeze
961,971,3841.54,3841.54,43421.42,3844,25170.46,29454.68,36513.54,25311.28,2704,25901.68,25901.68,25901.68,25901.68,25901.68,25901.68,25901.68,squeeze
967,976,3133.78,3133.78,39208.06,3136,23439.16,27365.86,34243.2,23459.74,2209,23949.34,23949.34,23949.34,23949.34,23949.34,23949.34,23949.34,squeeze
972,980,2598.98,2598.98,34775.98,2601,21514.9,24983.48,31714.94,21408.76,1849,21790.2,21790.2,21790.2,21790.2,21790.2,21790.2,21790.2,squeeze
978,985,2023.22,2023.22,30150.62,2025,19490.18,22510.68,29058.54,19245.26,1444,19544.86,19544.86,19544.86,19544.86,19544.86,19544.86,19544.86,squeeze
984,990,1519.46,1519.46,25106,1521,17249.48,19511.82,26043.04,16832.7,1089,17058.06,17058.06,17058.06,17058.06,17058.06,17058.06,17058.06,squeeze
989,995,1154.66,1154.66,19871.62,1156,14672.62,15772.22,22621.88,14104.84,784,14290.12,14290.12,14290.12,14290.12,14290.12,14290.12,14290.12,squeeze
995,999,782.9,782.9,14485.92,784,11904.78,11728.54,18993.38,11169.48,576,11265.16,11265.16,11265.16,11265.16,11265.16,11265.16,11265.16,squeeze
1001,1004,483.14,483.14,9242.46,484,9118.2,7923.82,15133.52,8182.5,361,8236.98,8236.98,8236.98,8236.98,8236.98,8236.98,8236.98,squeeze
1006,1008,288.34,288.34,5326.96,289,6725.3,5464.32,11543.1,5476.58,225,5499.54,5499.54,5499.54,5499.54,5499.54,5499.54,5499.54,squeeze
1011,1012,143.54,143.54,2552.12,144,4806.96,3555.7,8235.56,3320.74,121,3327.38,3327.38,3327.38,3327.38,3327.38,3327.38,3327.38,squeeze
1015,1015,63.7,63.7,987.94,64,3090.62,1834.88,5411.16,1666.96,64,1666.96,1666.96,1666.96,1666.96,1666.96,1666.96,1666.96,squeeze
1018,1018,24.82,24.82,169,25,1566.62,561.02,3037.04,451.42,25,451.42,451.42,451.42,451.42,451.42,451.42,451.42,none
1021,1020,3.94,3.94,4,4,519.32,19.48,1349.48,32.68,9,36,36,36,36,36,36,36,none
1022,1021,0.98,0.98,1,1,172.96,0.96,421.36,0.96,4,3.88,3.88,3.88,3.88,3.88,3.88,3.88,none
1022,1021,0.98,0.98,0.98,1,21.6,0.96,72.9,0.96,4,3.88,3.88,3.88,3.88,3.88,3.88,3.88,none
1022,1022,0.98,0.98,0.98,1,1.14,0.96,0.92,0.96,1,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.98,0.98,0.98,1,0.98,0.96,0.92,0.96,1,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.98,0.98,0.98,1,0.98,0.96,0.92,0.96,1,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.98,0.98,0.98,1,0.98,0.96,0.92,0.96,1,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.98,0.98,0.98,1,0.98,0.96,0.92,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.98,0.98,1,0.98,0.96,0.92,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,0.98,0.98,0.92,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.98,0.98,1,0.98,0.98,0.94,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.98,0.98,1,0.98,0.98,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.98,0.98,1,0.98,0.98,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.98,0.98,1,0.98,0.96,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,1,0.96,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,1,0.96,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,1,0.96,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,1,0.96,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,1,0.96,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,1,0.96,0.98,1,1,0.96,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,1,0.96,0.98,1,1,0.96,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,1,0.96,0.98,1,1,0.96,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,1,0.96,0.98,1,1,0.96,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,1,0.96,0.96,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,1,0.96,0.98,0.94,0.98,0.94,0.94,0.94,0.94,0.94,0.94,0.94,none
1022,1022,0.98,0.96,0.98,1,1,0.96,1,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.98,0.94,0.98,1,1,0.98,1,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.98,0.92,0.98,1,1,0.98,1,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,none
1022,1022,0.98,0.92,0.98,1,1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,none
