timestamp,meanLeft,meanRight,varS1,varS2,varS3,varS4,varS5,varS6,varS7,varS8,varS9,varS10,varS11,varS12,varS13,varS14,varS15,varS16
34328,1022,1022,1.0,0.98,0.92,1.0,0.96,0.94,0.96,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34348,1022,1022,1.0,0.98,0.92,1.0,0.96,0.94,0.96,0.96,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,
34368,1022,1022,1.0,0.98,0.9,1.0,0.96,0.94,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,
34389,1022,1022,1.0,0.98,0.9,1.0,0.96,0.94,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34410,1022,1022,1.0,0.98,0.92,1.0,0.96,0.96,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34430,1022,1022,1.0,0.98,0.92,1.0,0.98,0.96,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34450,1022,1022,1.0,0.98,0.92,1.0,0.98,0.96,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34471,1022,1022,1.0,0.98,0.92,1.0,0.98,0.96,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34491,1022,1022,1.0,0.98,0.92,1.0,0.98,0.96,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34512,1022,1022,1.0,0.98,0.92,1.0,0.98,0.96,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34532,1022,1022,1.0,0.98,0.92,1.0,0.98,0.96,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34553,1022,1022,1.0,0.98,0.92,1.0,0.98,0.96,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34574,1022,1022,1.0,0.98,0.92,1.0,0.98,0.96,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34594,1022,1022,1.0,0.98,0.92,1.0,0.98,0.96,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34615,1022,1022,1.0,0.98,0.92,1.0,0.98,0.96,0.94,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34635,1022,1022,1.0,0.98,0.94,1.0,0.98,0.96,0.94,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34657,1022,1022,1.0,0.98,0.94,1.0,0.98,0.96,0.94,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34678,1022,1022,1.0,0.96,0.94,1.0,0.98,0.96,0.94,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34698,1022,1022,1.0,0.96,0.94,1.0,0.98,0.96,0.94,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34718,1022,1022,1.0,0.96,0.94,1.0,0.98,0.96,0.94,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34738,1022,1022,1.0,0.96,0.94,1.0,0.98,0.96,0.94,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34758,1022,1022,1.0,0.96,0.94,1.0,0.98,0.98,0.94,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34778,1022,1022,1.0,0.96,0.94,1.0,0.98,0.98,0.94,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
34799,1022,1022,1.0,0.96,0.94,1.0,0.98,0.98,0.94,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
