eventIndex,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,tapType
87,9.844957,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,notap
88,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,notap
89,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,notap
90,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,notap
91,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,notap
92,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,notap
93,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,notap
94,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,notap
95,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,notap
96,9.883265,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,notap
97,9.883265,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,notap
98,9.883265,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,notap
99,9.883265,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,notap
100,9.844957,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,notap
101,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,notap
102,9.883265,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,notap
103,9.883265,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,notap
104,9.883265,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,notap
105,9.883265,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,notap
106,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,notap
107,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,notap
108,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,notap
109,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,notap
110,9.921572,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,notap
111,9.883265,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,notap
112,9.921572,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,notap
113,9.883265,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,notap
114,9.883265,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,notap
115,9.921572,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,notap
116,9.921572,9.883265,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.921572,9.883265,9.883265,9.883265,9.883265,9.883265,9.844957,notap
